Number of Student Loan Borrowers by Age Group,,,,,,,,,,,,,,,,
 Millions of Borrowers ,,,,,,,,,,,,,,,,
Source: Federal Reserve Bank of New York Consumer Credit Panel / Equifax,,,,,,,,,,,,,,,,
,under 30,30-39,40-49,50-59,60+,,,,,,,,,,,
2004,11.3,5.7,3.2,2.1,0.6,,,,,,,,,,,
2005,12.1,6.1,3.5,2.4,0.7,,,,,,,,,,,
2006,12.9,6.7,3.9,2.8,0.9,,,,,,,,,,,
2007,13.4,7.2,4.1,3.1,1.1,,,,,,,,,,,
2008,14.2,8.0,4.4,3.5,1.3,,,,,,,,,,,
2009,15.3,8.8,4.8,3.8,1.5,,,,,,,,,,,
2010,16.2,9.6,5.3,4.2,1.7,,,,,,,,,,,
2011,15.5,9.8,5.5,4.3,1.9,,,,,,,,,,,
2012,15.1,10.9,6.0,4.7,2.2,,,,,,,,,,,
2013,17.4,11.4,6.2,4.9,2.4,,,,,,,,,,,
2014,17.4,11.8,6.5,5.0,2.6,,,,,,,,,,,
2015,17.3,12.1,6.8,5.2,2.8,,,,,,,,,,,
2016,17.1,12.2,7.0,5.2,3.0,,,,,,,,,,,
2017,16.8,12.3,7.3,5.2,3.2,,,,,,,,,,,
